trip_id,subscriber_type,bike_id,bike_type,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes,customer_id
26141074,Student Membership,877,classic,2022-03-10 18:49:00.000000 UTC,2547,21st/Guadalupe,2494,2nd/Congress,32,C-0004
26037255,Pay-as-you-ride,19870,electric,2022-02-17 15:21:49.000000 UTC,2547,21st/Guadalupe,2494,2nd/Congress,12,C-0068
26141073,Student Membership,3212,classic,2022-03-10 18:48:56.000000 UTC,2547,21st/Guadalupe,2494,2nd/Congress,33,C-0066
26289237,Explorer,19870,electric,2022-03-31 19:37:28.000000 UTC,2547,21st/Guadalupe,2494,2nd/Congress,16,C-1456
26110009,Local365,21702,electric,2022-03-04 20:41:54.000000 UTC,2547,21st/Guadalupe,2494,2nd/Congress,9,C-1265
26145974,Student Membership,19955,electric,2022-03-12 08:12:56.000000 UTC,2547,21st/Guadalupe,2494,2nd/Congress,10,C-0139
25875815,Pay-as-you-ride,19583,electric,2022-01-01 22:54:40.000000 UTC,2547,21st/Guadalupe,2495,4th/Congress,13,C-0016
26007987,Local31,21728,electric,2022-02-11 08:58:46.000000 UTC,2547,21st/Guadalupe,2495,4th/Congress,49,C-0059
26255923,Single Trip (Pay-as-you-ride),2195,classic,2022-03-27 11:41:42.000000 UTC,2547,21st/Guadalupe,2495,4th/Congress,41,C-0054
25882060,Student Membership,19247,electric,2022-01-04 15:47:49.000000 UTC,2547,21st/Guadalupe,2495,4th/Congress,11,C-0008
26280544,Student Membership,19583,electric,2022-03-30 16:47:30.000000 UTC,2547,21st/Guadalupe,2495,4th/Congress,10,C-0003
25905157,Student Membership,22449,electric,2022-01-13 15:28:02.000000 UTC,2547,21st/Guadalupe,2496,8th/Congress,10,C-0160
26012381,3-Day Weekender,21440,electric,2022-02-11 21:31:44.000000 UTC,2547,21st/Guadalupe,2496,8th/Congress,14,C-0081
26269247,Local365,21481,electric,2022-03-28 23:58:42.000000 UTC,2547,21st/Guadalupe,2496,8th/Congress,11,C-0077
26118510,Student Membership,19403,electric,2022-03-05 23:14:39.000000 UTC,2547,21st/Guadalupe,2496,8th/Congress,9,C-1274
